trial,n_factors,n_epochs,lr_all,reg_all,biased,score,duration_s
1,20,75,0.02,0.03,False,0.024146392533950015,1389.1
2,200,20,0.02,0.01,True,0.0009003600151543399,1310.5
3,20,75,0.02,0.03,False,0.024146392533950015,1242.7
4,200,20,0.02,0.01,True,0.0009003600151543399,1199.3
5,10,50,0.02,0.05,True,0.00011562593052715516,711.3
6,30,50,0.01,0.2,False,0.05149833573140911,956.2
7,10,20,0.02,0.2,False,0.13227354664912408,313.7
8,75,30,0.01,0.03,True,0.000380675723526225,909.2
9,20,30,0.002,0.1,True,0.0023947772940254835,520.7
10,10,50,0.005,0.05,False,0.2549297247668713,698.0
11,150,100,0.005,0.05,False,0.0910559470088597,4489.2
12,10,20,0.001,0.005,False,0.25356765506917106,306.5
13,10,50,0.001,0.005,False,0.17978868662115188,682.9
14,50,100,0.001,0.005,False,0.10433258592367761,2417.9
15,100,20,0.005,0.005,False,0.13948956924259256,783.5
16,10,50,0.005,0.05,False,0.2549297247668713,765.6
17,10,50,0.005,0.05,False,0.2549297247668713,763.3
18,75,50,0.005,0.05,False,0.22291266267036516,1455.0
19,30,50,0.005,0.05,False,0.24383893305788992,986.0
20,30,50,0.005,0.05,False,0.24383893305788992,978.6
21,30,50,0.005,0.05,False,0.24383893305788992,998.3
22,30,50,0.005,0.05,False,0.24383893305788992,1071.7
23,150,50,0.005,0.05,False,0.19447627808331822,2334.6
