config,threshold_label,dataset,trials,best_ndcg_10,engine,best_run_dir,n_factors,n_epochs,lr_all,reg_all,biased,train_rows,pos_rows,neg_rows
p4_n2,pos≥4 / neg≤2,ML-1M,200,0.1058,Random Search,20260525_213207_arm_d,20,20,0.001,0.03,False,,,
p4_n2,pos≥4 / neg≤2,ML-10M,50,0.2165,Random Search,20260525_213207_arm_d,,,,,,6299588,4929146,1370442
p4_n2,pos≥4 / neg≤2,ML-20M,20,0.2371,Random Search,20260525_213207_arm_d,,,,,,12433426,9839296,2594130
p4_n2,pos≥4 / neg≤2,Spotify,200,0.2534,Random Search,20260525_213207_arm_d,100,30,0.02,0.2,False,,,
p4_n1,pos≥4 / neg≤1,ML-1M,200,0.1103,Random Search,20260525_213207_arm_d,20,20,0.001,0.03,False,,,
p4_n1,pos≥4 / neg≤1,ML-10M,50,0.2422,Random Search,20260525_213207_arm_d,,,,,,5401890,4929146,472744
p4_n1,pos≥4 / neg≤1,ML-20M,30,0.2839,Random Search,20260525_213207_arm_d,,,,,,10745496,9839296,906200
p4_n1,pos≥4 / neg≤1,Spotify,200,0.2913,Random Search,20260525_213207_arm_d,150,100,0.02,0.1,False,,,
p5_n1,pos≥5 / neg≤1,ML-1M,200,0.0981,Random Search,20260525_213207_arm_d,10,20,0.002,0.005,False,,,
p5_n1,pos≥5 / neg≤1,ML-10M,170,0.1919,Random Search,20260525_213207_arm_d,,,,,,1989221,1516477,472744
p5_n1,pos≥5 / neg≤1,ML-20M,80,0.2223,Random Search,20260525_213207_arm_d,,,,,,3751151,2844951,906200
p5_n1,pos≥5 / neg≤1,Spotify,200,0.2228,Random Search,20260525_213207_arm_d,75,75,0.02,0.2,False,,,
p3_n2,pos≥3 / neg≤2,ML-1M,200,0.1043,Random Search,20260525_213207_arm_d,20,20,0.001,0.03,False,,,
p3_n2,pos≥3 / neg≤2,ML-10M,30,0.2575,Random Search,20260525_213207_arm_d,,,,,,9492113,8121671,1370442
p3_n2,pos≥3 / neg≤2,ML-20M,20,0.2592,Random Search,20260525_213207_arm_d,,,,,,18833707,16239577,2594130
p3_n2,pos≥3 / neg≤2,Spotify,200,0.2600,Random Search,20260525_213207_arm_d,200,50,0.02,0.1,False,,,
