Dataset,Pos≥,Neg≤,NDCG@10,HR@10,MRR,sim_neg@10,N_pos,N_neg
ml-1m,4,2,0.1080,0.2065,0.0952,0.0000,571274,162635
ml-1m,5,1,0.1122,0.2108,0.0978,0.0000,224571,55752
ml-1m,4,1,0.1090,0.2106,0.0958,0.0000,571274,55752
ml-1m,3,2,0.0975,0.1873,0.0883,0.0000,830936,162635
ml-10m,4,2,0.0014,0.0040,0.0105,0.0000,4967292,1378960
ml-10m,5,1,0.0026,0.0076,0.0137,0.0000,1530604,475864
ml-10m,4,1,0.0006,0.0015,0.0081,0.0000,4967292,475864
ml-10m,3,2,0.0008,0.0024,0.0083,0.0000,8181474,1378960
ml-20m,4,2,0.2595,0.4085,0.2254,0.0000,9915548,2610450
ml-20m,5,1,0.0100,0.0285,0.0196,0.0000,2871557,912445
ml-20m,4,1,0.0002,0.0007,0.0076,0.0000,9915548,912445
ml-20m,3,2,0.0000,0.0001,0.0070,0.0000,16357812,2610450
